title,organisation,format,tags,dates,location,url


NHR Perflab Seminar,NHR@FAU,Other,"Seminar, Community",none,none,https://hpc.fau.de/research/nhr-perflab-seminar-series/
Introduction to CUDA C/C++,NHR@FAU,Scheduled (online),"CUDA, C/C++",3-4 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/cuda/
Scaling CUDA-Accelerated Applications,NHR@FAU,Scheduled (online),"CUDA",7-9 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/scaling-cuda/
C++ for Beginners,NHR@FAU,Scheduled (online),"C++",17-18 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-beginner/
GPU Performance Engineering,NHR@FAU,Scheduled (online),"GPU",28-30 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-performance-engineering/
Core-Level Performance Engineering,NHR@FAU,Scheduled (online),"Core-level",5 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/clpe/
Modern C++ Software Design,NHR@FAU,Scheduled (online),"C++",7-9 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-sw-design/
Fundamentals of Accelerated Computing with Modern CUDA C++,NHR@FAU,Scheduled (online),"CUDA,C++",27-29 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/dli-modern-cuda/
Introduction to Git,NHR@FAU,Scheduled (online),"Git",2-3 November 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/git-beginner/
Git for Advanced Users,NHR@FAU,Scheduled (online),"Git",4-5 November 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/git-advanced/
Choosing GPU Programming Approaches,NHR@FAU,Scheduled (online),"GPU",9-10 November 2026,Online,none,none,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-approaches/
Node-Level Performance Engineering,NHR@FAU,Scheduled (online),"GPU",1-3 December 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/nlpe/


Using Jupyter Notebooks on HPC,NHR@GWDG,Online,,https://academy.gwdg.de/p/event.xhtml?id=69f72823e3e2557f1b42c63e
Ansys on Cluster and Post-Processing of Simulation Results,NHR@GWDG,Scheduled (online),User-specific,5 October 2026,Online,https://academy.gwdg.de/p/event.xhtml?id=69f72bc8e3e2557f1b42c646

HPC Cafe,NHR@KIT,Other,"Seminar, Community",none,none,https://www.nhr.kit.edu/events.php/event/60386#calendar_top



High-Performance Scientific Computing in C++ ,JSC,Scheduled (online),"C++",12-15 October 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/hpc-cplusplus
Parallel I/O and Portable Data Formats,JSC,Scheduled (online),"Parallelism, I/O",26-28 October 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/parallel-io
Directive-based GPU Programming with OpenACC,JSC,Scheduled (online),"Parallelism, GPU, OpenACC",3-5 November 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/gpu-openacc

Modern C++ Software Design (Advanced) ,HLRS,Scheduled (hybrid),"C++",17-20 November 2026,Stuttgart (Germany),https://www.hlrs.de/training/2026/cpp4

Elements of Supercomputing,CSC,Online (self-service),"Parallelism, intro to HPC",none,none,https://research.csc.fi/training/elements-of-supercomputing/
Containers in Supercomputing Environment,CSC,Scheduled (online),"Parallel-practice, Containers",24-26 November 2026,Online,https://research.csc.fi/training/containers-in-supercomputing-environment-2/

How to write a good application,UKRI,Online (self-service),"Professional Skills",none,none,https://www.ukri.org/councils/esrc/guidance-for-applicants/how-to-write-a-good-application/

Programming with Python,Software Carpentry,Online (self-service),"Python",none,none,https://swcarpentry.github.io/python-novice-inflammation/
Plotting and Programming in Python,Software Carpentry,Online (self-service),"Python",none,none,http://swcarpentry.github.io/python-novice-gapminder
Image Processing with Python,Software Carpentry,Online (self-service),"Python",none,none,https://datacarpentry.org/image-processing/
The Unix Shell,Library Carpentry,Online (self-service),"Unix",none,none,https://librarycarpentry.org/lc-shell/


Message Passing programming with MPI,EPCC/ARCHER2,Scheduled (in-person),"MPI",9-10 September 2026,Durham,https://www.archer2.ac.uk/training/courses/260909-mpi/
Running GeoChemFoam on HPC: From Micro-CT Images to Remote Visualisation,EPCC/ARCHER2,Scheduled (online),"Other",16 September 2026,Online,https://www.archer2.ac.uk/training/courses/260916-geochemfoam-vt/
Message-Passing with MPI,EPCC/ARCHER2,Online (self-service),"Parallelism, MPI",none,none,https://www.archer2.ac.uk/training/courses/210000-mpi-self-service/
Hands-on Introduction to HPC,EPCC/ARCHER2,Online (self-service),"intro to HPC",none,none,https://www.archer2.ac.uk/training/courses/240000-intro-hpc-self-service/
Shared Memory Programming with OpenMP,EPCC/ARCHER2,Online (self-service),"OpenMP",none,none,https://www.archer2.ac.uk/training/courses/210000-openmp-self-service/
